"10.0.2.15",49082,"2.17.184.215",443,504,516674,0,0,0,249,51779,255,464895,0.028634401,79.96390095,5180,46510
"10.0.2.15",55872,"34.120.208.123",443,18,2380,1,0,0,9,1258,9,1122,0.050012223,117.899803549,85,76
"10.0.2.15",56670,"104.96.143.246",443,26,3166,2,0,0,13,1743,13,1423,0.213501036,20.101600434999998,693,566
"10.0.2.15",42870,"69.192.160.133",443,61,34109,3,0,0,24,31107,37,3002,0.357582495,80.490441144,3091,298
"10.0.2.15",55216,"23.73.140.154",443,18,4663,4,0,0,9,2822,9,1841,0.588420254,9.817880225,2299,1500
"10.0.2.15",47816,"13.32.110.83",443,38,11052,5,0,0,19,4015,19,7037,0.688961463,117.27152945,273,480
"10.0.2.15",37592,"18.66.15.106",443,31,8252,6,0,0,16,2072,15,6180,0.721472745,117.24519311,141,421
"10.0.2.15",34638,"15.236.117.205",443,68,23955,7,0,0,34,10953,34,13002,1.24654559,61.932086561000006,1414,1679
"10.0.2.15",37596,"18.66.15.106",443,57,13449,8,0,0,29,3690,28,9759,1.259922771,77.57260024899999,380,1006
"10.0.2.15",50154,"104.96.143.105",443,43,19503,9,0,0,22,2728,21,16775,1.709987049,77.11802826899999,282,1740
"10.0.2.15",38364,"142.251.36.150",443,12,819,10,0,0,6,426,6,393,2.039496553,52.45053851,64,59
"10.0.2.15",33134,"23.217.235.5",443,43,12817,11,0,0,22,2975,21,9842,2.192509585,109.707046792,216,717
"10.0.2.15",50158,"104.96.143.105",443,41,6307,12,0,0,21,3533,20,2774,2.230097465,109.669458942,257,202
"10.0.2.15",50160,"104.96.143.105",443,41,6184,13,0,0,21,3410,20,2774,2.230443758,109.669112679,248,202
"10.0.2.15",50030,"130.35.100.56",443,46,16481,14,0,0,22,9458,24,7023,2.428972082,109.470583934,691,513
"10.0.2.15",55302,"142.250.185.134",443,31,8174,15,0,0,16,2055,15,6119,2.471812627,116.48519627499999,141,420
"10.0.2.15",43232,"138.1.45.89",443,20,3405,16,0,0,10,2195,10,1210,2.804018659,3.0766110890000005,5707,3146
"10.0.2.15",43234,"138.1.45.89",443,28,7220,17,0,0,14,4892,14,2328,2.804722475,7.136775886000001,5483,2609
"10.0.2.15",40510,"13.107.21.200",443,67,15804,18,0,0,34,4932,33,10872,3.657728521,104.264743278,378,834
"10.0.2.15",39772,"2.16.2.186",443,23,2951,19,0,0,11,1604,12,1347,3.658500054,20.107363585999998,638,535
"10.0.2.15",54902,"13.32.121.103",443,29,9476,20,0,0,15,2006,14,7470,3.836888991,69.04900001700001,232,865
"10.0.2.15",59996,"13.107.42.14",443,61,15987,21,0,0,31,4515,30,11472,3.865557358,76.97739449699999,469,1192
"10.0.2.15",52232,"172.217.16.196",443,29,7808,22,0,0,15,1988,14,5820,4.474718708,116.511806495,136,399
"10.0.2.15",50498,"142.251.36.131",443,29,7812,23,0,0,15,1987,14,5825,4.475902068,116.50416554,136,399
"10.0.2.15",41694,"157.240.253.35",443,27,5998,24,0,0,14,1659,13,4339,4.751582315,116.23443269699999,114,298
"10.0.2.15",33162,"23.217.235.5",443,37,10090,25,0,0,19,2074,18,8016,11.259618999,102.68728981000001,161,624
"10.0.2.15",59178,"142.0.173.54",443,41,9214,26,0,0,21,2894,20,6320,12.049687221,102.929148011,224,491
"10.0.2.15",54816,"93.184.220.29",80,43,7759,27,0,0,22,3288,21,4471,12.372966516,108.22978578099999,243,330
"10.0.2.15",43256,"138.1.45.89",443,20,3796,28,0,0,10,2586,10,1210,12.797175178,3.0541389910000003,6773,3169
"10.0.2.15",43258,"138.1.45.89",443,24,5358,29,0,0,12,3589,12,1769,12.798204236,3.1361759399999993,9155,4512
"10.0.2.15",60332,"142.250.185.174",443,12,819,30,0,0,6,426,6,393,16.068932582,52.662472127,64,59
"10.0.2.15",43260,"138.1.45.89",443,23,4048,31,0,0,12,2778,11,1270,16.338372473,3.0660957810000014,7248,3313
"10.0.2.15",55268,"23.73.140.154",443,18,1855,32,0,0,9,1144,9,711,17.920069252,5.4785364629999975,1670,1038
"10.0.2.15",43264,"138.1.45.89",443,30,7748,33,0,0,16,5420,14,2328,19.837164505,5.609375218,7729,3320
"10.0.2.15",43266,"138.1.45.89",443,23,4282,34,0,0,12,3012,11,1270,19.837860706,3.2305835310000006,7458,3144
"10.0.2.15",43268,"138.1.45.89",443,15,1661,35,0,0,8,1095,7,566,20.036681934,5.441233626999999,1609,832
"10.0.2.15",43270,"138.1.45.89",443,38,12288,36,0,0,18,8722,20,3566,27.039570868,5.673404863999998,12298,5028
"10.0.2.15",43272,"138.1.45.89",443,38,12357,37,0,0,18,8791,20,3566,27.049393292,8.163397686999996,8615,3494
"10.0.2.15",34208,"142.250.186.35",443,8,519,38,0,0,4,279,4,240,31.387177038,0.014390169999998648,155105,133424
"10.0.2.15",39928,"104.244.42.129",443,65,119560,39,0,0,33,3620,32,115940,33.117896465,62.827695472,460,14762
"10.0.2.15",45670,"152.199.21.141",443,23,6815,40,0,0,12,1476,11,5339,34.072320857,0.4377832929999954,26972,97564
"10.0.2.15",45672,"152.199.21.141",443,24,6875,41,0,0,12,1476,12,5399,34.07289581,0.20312350200000395,58132,212639
"10.0.2.15",45674,"152.199.21.141",443,22,6761,42,0,0,11,1422,11,5339,34.073412785,0.1359703039999971,83665,314127
"10.0.2.15",45676,"152.199.21.141",443,1109,3795598,43,0,0,526,54922,583,3740676,34.073841562,15.286486393000004,28742,1957638
"10.0.2.15",41930,"34.117.237.239",443,12,819,44,0,0,6,426,6,393,34.154246812,53.867218586999996,63,58
